"subj","tp","Visual.Commet.Freeview","exclude"
"s184","fu","",NA
"s188","fu","",0
"s264","bl","",0
"s5","fu","",0
"s295","bl","",0
"s314","bl","",0
"s346","fu","",NA
"s41","bl","",0
"s247","fu","",NA
"s102","bl","",0
"s254","bl","",0
"s124","fu","",0
"s81","bl","",0
"s180","fu","",0
"s142","bl","",0
"s128","bl","",0
"s134","bl","T1 is ok ",0
"s190","bl","",0
"s185","bl","",0
"s62","fu","",0
"s58","bl","",0
"s105","fu","",0
"s261","fu","",0
"s218","bl","",0
"s153","bl","",0
"s10","bl","",0
"s113","fu","",0
"s305","bl","",0
"s169","bl","low CNR, but ok",0
"s83","bl","",0
"s326","fu","",0
"s76","bl","",0
"s262","bl","",0
"s226","bl","",0
"s150","bl","",0
"s350","fu","",NA
"s63","bl","",0
"s284","fu","",0
"s211","bl","",0
"s122","fu","",0
"s258","fu","",0
"s362","fu","",NA
"s164","fu","",NA
"s63","fu","",0
"s278","bl","ok",0
"s59","fu","",0
"s178","fu","",0
"s336","fu","",0
"s133","fu","",0
"s197","fu","",0
"s313","bl","",0
"s338","bl","",0
"s165","bl","",0
"s115","fu","",NA
"s206","fu","",0
"s112","bl","",0
"s314","fu","",0
"s258","bl","",0
"s253","fu","",0
"s277","fu","",0
"s257","fu","",NA
"s75","fu","",0
"s219","bl","",0
"s349","fu","tiny stripes, but ok",0
"s128","fu","",0
"s344","bl","",0
"s371","fu","",0
"s248","bl","",0
"s193","fu","",NA
"s151","bl","",0
"s23","bl","",0
"s198","fu","",0
"s364","fu","",NA
"s229","bl","",0
"s59","bl","",0
"s96","bl","",0
"s183","bl","",0
"s50","fu","",0
"s88","bl","",0
"s146","fu","",NA
"s19","fu","",0
"s72","fu","",0
"s293","fu","",0
"s243","bl","",0
"s133","bl","",0
"s200","fu","",0
"s332","bl","",0
"s119","fu","",0
"s371","bl","",0
"s94","fu","",0
"s339","fu","",0
"s181","bl","",0
"s275","bl","",0
"s268","fu","",0
"s234","fu","",0
"s372","fu","",0
"s374","fu","",NA
"s295","fu","",0
"s181","fu","",0
"s192","bl","",0
"s254","fu","",0
"s241","fu","",0
"s75","bl","",0
"s378","fu","",0
"s235","fu","",0
"s176","bl","",0
"s189","bl","",0
"s309","fu","",NA
"s239","bl","",0
"s194","bl","",0
"s15","bl","",0
"s265","fu","",NA
"s127","fu","",NA
"s378","bl","",0
"s273","fu","",0
"s6","fu","",NA
"s91","bl","",0
"s38","fu","",NA
"s293","bl","",0
"s36","bl","",0
"s232","bl","",0
"s225","fu","",0
"s214","fu","",NA
"s14","fu","",NA
"s21","bl","",0
"s312","fu","",NA
"s155","bl","",0
"s323","bl","",0
"s294","bl","",0
"s148","bl","",0
"s238","bl","",0
"s121","bl","",0
"s158","fu","",0
"s60","fu","",0
"s259","bl","",0
"s44","fu","",0
"s211","fu","",0
"s278","fu","",0
"s44","bl","",0
"s343","bl","",0
"s335","bl","",0
"s205","fu","",0
"s168","bl","ok",0
"s365","bl","",0
"s130","fu","",NA
"s284","bl","",0
"s339","bl","",0
"s299","bl","",0
"s99","bl","",0
"s306","fu","",0
"s221","fu","",0
"s36","fu","stripy pattern on FA image",1
"s329","fu","",0
"s232","fu","",0
"s358","fu","",NA
"s116","bl","",0
"s27","bl","",0
"s22","fu","",NA
"s360","fu","",NA
"s166","fu","",0
"s106","fu","",0
"s290","fu","",0
"s107","fu","",0
"s306","bl","",0
"s325","fu","",0
"s282","bl","",0
"s107","bl","",0
"s228","fu","",0
"s182","bl","",0
"s328","fu","",0
"s329","bl","",0
"s58","fu","",0
"s228","bl","",0
"s264","fu","",0
"s359","fu","",NA
"s96","fu","",0
"s299","fu","",0
"s125","fu","",0
"s55","fu","",0
"s66","bl","",0
"s150","fu","",0
"s345","fu","",NA
"s236","fu","",0
"s166","bl","",0
"s357","fu","",NA
"s106","bl","",0
"s124","bl","",0
"s373","fu","",NA
"s280","fu","",NA
"s334","bl","",0
"s256","fu","",NA
"s217","fu","",0
"s372","bl","",0
"s311","fu","",0
"s316","fu","",0
"s269","bl","",0
"s34","bl","",0
"s200","bl","",0
"s131","bl","",0
"s324","fu","",0
"s230","fu","",0
"s237","fu","",0
"s190","fu","",0
"s126","fu","",0
"s216","fu","",0
"s73","bl","",0
"s290","bl","",0
"s348","fu","",NA
"s210","bl","",0
"s354","fu","",NA
"s102","fu","",0
"s356","bl","",0
"s76","fu","",0
"s72","bl","",0
"s13","bl","",0
"s156","bl","",0
"s153","fu","",0
"s260","fu","",0
"s241","bl","",0
"s108","bl","",0
"s266","bl","",0
"s206","bl","",0
"s375","bl","",0
"s343","fu","",0
"s89","bl","",0
"s347","fu","",NA
"s268","bl","",0
"s253","bl","",0
"s39","fu","",0
"s101","fu","",0
"s327","fu","",0
"s196","bl","",0
"s163","fu","",0
"s210","fu","",0
"s282","fu","",0
"s246","fu","",0
"s82","bl","ok",0
"s197","bl","",0
"s313","fu","",0
"s62","bl","",0
"s248","fu","",0
"s294","fu","",0
"s99","fu","",0
"s298","fu","",0
"s189","fu","",0
"s20","fu","",0
"s151","fu","",0
"s368","fu","",1
"s326","bl","",0
"s335","fu","",0
"s87","fu","",0
"s351","fu","",0
"s94","bl","",0
"s111","bl","",0
"s366","bl","",0
"s338","fu","",0
"s296","fu","",0
"s113","bl","",0
"s105","bl","",0
"s365","fu","",0
"s240","bl","",0
"s213","fu","",0
"s375","fu","",0
"s277","bl","",0
"s255","bl","",0
"s157","fu","",0
"s188","bl","",0
